date_obj,Raw%20dark%20crab price
2019-03-09,1180
2019-03-10,1180
2019-03-11,1183
2019-03-12,1183
2019-03-13,1183
2019-03-14,1183
2019-03-15,1183
2019-03-16,1143
2019-03-17,1143
2019-03-18,1143
2019-03-19,1143
2019-03-20,1131
2019-03-21,1131
2019-03-22,1131
2019-03-23,1131
2019-03-24,1109
2019-03-25,1109
2019-03-26,1109
2019-03-27,1109
2019-03-28,1109
2019-03-29,1131
2019-03-30,1131
2019-03-31,1131
2019-04-01,1131
2019-04-02,1131
2019-04-03,1131
2019-04-04,1121
2019-04-05,1121
2019-04-06,1121
2019-04-07,1121
2019-04-08,1121
